@RELATION "census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32"

@ATTRIBUTE year NUMERIC
@ATTRIBUTE gq {HH_in_1970_definition_but_sampled_as_larger_unit, Other_group_quarters, Institution}
@ATTRIBUTE gqtypeg {NA_(household), Rooming_house, Other_institutions, Other_non-instit_GQ_and_unknown, Correctional_institutions, College_dormitory, Mental_institutions, Military}
@ATTRIBUTE farm {Non-Farm, Farm}
@ATTRIBUTE ownershg {Rented, Owned_or_being_bought_(loan)}
@ATTRIBUTE value NUMERIC
@ATTRIBUTE rent NUMERIC
@ATTRIBUTE ftotinc NUMERIC
@ATTRIBUTE nfams NUMERIC
@ATTRIBUTE ncouples NUMERIC
@ATTRIBUTE nmothers NUMERIC
@ATTRIBUTE nfathers NUMERIC
@ATTRIBUTE momloc NUMERIC
@ATTRIBUTE stepmom NUMERIC
@ATTRIBUTE momrule NUMERIC
@ATTRIBUTE poploc NUMERIC
@ATTRIBUTE steppop NUMERIC
@ATTRIBUTE poprule NUMERIC
@ATTRIBUTE sploc NUMERIC
@ATTRIBUTE sprule NUMERIC
@ATTRIBUTE famsize NUMERIC
@ATTRIBUTE nchild NUMERIC
@ATTRIBUTE nchlt5 NUMERIC
@ATTRIBUTE famunit NUMERIC
@ATTRIBUTE eldch NUMERIC
@ATTRIBUTE yngch NUMERIC
@ATTRIBUTE nsibs NUMERIC
@ATTRIBUTE relateg {Spouse, Head_Householder, Child, Partner_friend_visitor, Sibling, Other_relatives, Grandchild, Other_non-relatives, Sibling-in-Law, Institutional_inmates, Parent-in-Law, Parent, Child-in-law}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE sex {Female, Male}
@ATTRIBUTE raceg {White, Black_Negro, Japanese, Other_race_nec, Chinese, Other_Asian_or_Pacific, American_Indian}
@ATTRIBUTE chborn NUMERIC
@ATTRIBUTE bplg {California, Louisiana, Washington, Ohio, Central_America, Nebraska, Illinois, New_Jersey, Abroad_(unknown)_or_at_sea, Japan, Cuba, Virginia, Missouri, Portugal, Texas, Pennsylvania, Turkey, North_Carolina, Mexico, South_America, Tennessee, Minnesota, Indonesia, Mississippi, New_York, Michigan, Oklahoma, Massachusetts, Kansas, Georgia, Alabama, Iowa, Iran, USSR_Russia, Oregon, Canada, Australia_and_New_Zealand, Arkansas, Hawaii, Korea, Kentucky, Belgium, Arizona, Philippines, Sweden, West_Virginia, England, Puerto_Rico, United_Kingdom_ns, Yugoslavia, North_Dakota, Germany, Connecticut, Indiana, Maryland, Colorado, Idaho, Iceland, Vietnam, Lithuania, West_Indies, New_Mexico, Lebanon, South_Dakota, Greece, Rhode_Island, Nevada, Utah, Spain, Finland, Montana, U_S__Virgin_Islands, India, China, Wisconsin, Hungary, Africa, Poland, Laos, Florida, Netherlands, Italy, Pacific_Islands, Guam, Wyoming, Thailand, Saudi_Arabia, District_of_Columbia, South_Carolina, Scotland, Ireland, Cambodia_(Kampuchea), Israel_Palestine, Vermont, Denmark, France, Romania, Czechoslovakia, New_Hampshire, Austria, Cyprus, Afghanistan, Syria, Switerland, Alaska, Maine, Delaware, Iraq, Norway, Malaysia}
@ATTRIBUTE school {No_not_in_school, Yes_in_school}
@ATTRIBUTE educrec {1_to_3_years_of_college, Grade_12, None_or_preschool, Grade_10, Grade_5-8, Grade_9, Grade_11, Grade_1-4, 4+_years_of_college}
@ATTRIBUTE schltype {Other_private_1980, Public_school, Church-related_(1980)}
@ATTRIBUTE empstatg {Not_in_labor_force, Employed, Unemployed}
@ATTRIBUTE labforce {No_not_in_labor_force, Yes_in_labor_force}
@ATTRIBUTE occ1950 {Cashiers, Stenographers_typists_and_secretaries, Attendants_hospital_and_other_institution, Janitors_and_sextons, Purchasing_agents_and_buyers_(nec), Laborers_(nec), Social_and_welfare_workers_except_group, Foremen_(nec), Clerical_and_kindred_workers_(n_e_c_), Managers_officials_and_proprietors_(nec), Bookkeepers, Waiters_and_waitresses, Attendants_professional_and_personal_service_(nec), Salesmen_and_sales_clerks_(nec), Farm_foremen, Members_of_the_armed_services, Bank_tellers, Shipping_and_receiving_clerks, Real_estate_agents_and_brokers, Professional_technical_99_kindred_workers_(nec), Entertainers_(nec), Cooks_except_private_household, Painters_construction_and_maintenance, Machinists, Designers, Newsboys, Operative_and_kindred_workers_(nec), Automobile-mechanics_and_repairmen, Private_household_workers_(nec), Airplane-mechanics_and_repairmen, Filers_grinders_and_polishers_metal, Stock_and_bond_salesmen, Psychologists, Insurance_agents_and_brokers, Industrial-Engineers, Guards_watchmen_and_doorkeepers, Nurses_professional, Housekeepers_private_household, Charwomen_and_cleaners, Teachers_(n_e_c_), Office_machine_operators, Housekeepers_and_stewards_except_private_household, Subject_not_specified-Professors, Radio_and_television-mechanics_and_repairmen, Therapists_and_healers_(nec), Medical_and_dental-technicians, Musicians_and_music_teachers, Draftsmen, Physicians_and_surgeons, Attendants_and_assistants_library, Hucksters_and_peddlers, Farm_laborers_wage_workers, Truck_and_tractor_drivers, Tool_makers_and_die_makers_and_setters, Service_workers_except_private_household_(nec), Attendants_auto_service_and_parking, Buyers_and_dept_heads_store, Editors_and_reporters, Telephone_operators, Mechanics_and_repairmen_(nec), Meat_cutters_except_slaughter_and_packing_house, Personnel_and_labor_relations_workers, Attendants_physicians_and_dentists_office, Engineers_(nec), Accountants_and_auditors, Mechanical-Engineers, Officials_250_administratators_(nec)_public_administration, Sawyers, Dentists, Office_machine-mechanics_and_repairmen, Carpenters, Farm_managers, Welders_and_flame_cutters, Biological_scientists, Firemen_fire_protection, Artists_and_art_teachers, Bus_drivers, Electricians, Deliverymen_and_routemen, Plumbers_and_pipe_fitters, Practical_nurses, Lawyers_and_judges, Pattern_and_model_makers_except_paper, Photographic_process_workers, Gardeners_except_farm_and_groundskeepers, Mail_carriers, Barbers_beauticians_and_manicurists, Painters_except_construction_or_maintenance, Messengers_and_office_boys, Inspectors_(nec), Molders_metal, Nonscientific_subjects-Professors, Authors, Auto_mechanics_apprentice, Technicians_(nec), Bakers, Counter_and_fountain_workers, Cement_and_concrete_finishers, Testing-technicians, Laundry_and_dry_cleaning_Operatives, Mine_operatives_and_laborers, Policemen_and_detectives, Tailors_and_tailoresses, Bartenders, Advertising_agents_and_salesmen, Attendants_recreation_and_amusement, Ticket_station_and_express_agents, Taxicab_drivers_and_chauffeurs, Electrical-Engineers, Stationary_firemen, Radio_operators, Librarians, Architects, Surveyors, Economists, Recreation_and_group_workers, Jewelers_watchmakers_goldsmiths_and_silversmiths, Civil-Engineers, Structural_metal_workers, Collectors_bill_and_account, Longshoremen_and_stevedores, Dispatchers_and_starters_vehicle, Compositors_and_typesetters, Mathematics-Professors, Farmers_(owners_and_tenants), Linemen_and_servicemen_telegraph_telephone_540_power, Cabinetmakers, Upholsterers, Postmasters, Auctioneers, Clergymen, Oilers_and_greaser_except_auto, Inspectors_public_administration, Roofers_and_slaters, Dieticians_and_nutritionists, Excavating_grading_and_road_machinery_operators, Tinsmiths_coppersmiths_and_sheet_metal_workers, Chemical-Engineers, Aeronautical-Engineers, Glaziers, Dressmakers_and_seamstresses_except_factory, Pressmen_and_plate_printers_printing, Photoengravers_571_lithographers, Motion_picture_projectionists, Ushers_recreation_and_amusement, Brickmasonsstonemasons_and_tile_setters, Religious_workers, Brakemen_railroad, Sports_instructors_and_officials, Optometrists, Porters, Managers_230_superintendants_building, Engravers_except_engravers, Shoemakers_and_repairers_except_factory, Cranemenderrickmen_and_hoistmen, Funeral_directors_and_embalmers, Dancers_and_dancing_teachers, Stationary_engineers, Opticians_and_lens_grinders_and_polishers, Bookbinders, Airplane_pilots_and_navigators, Veterinarians, Millwrights, Heat_treaters_annealers_temperers, Photographers, Officers_pilots_pursers_and_engineers_ship, Conductors_railroad, Sheriffs_and_bailiffs, Watchmen_(crossing)_and_bridge_tenders, Job_setters_metal, Fishermen_and_oystermen, Plasterers, Aricultural_sciences-Professors, Demonstrators, Asbestos_and_insulation_workers, Pharmacists, Chiropractors, Psychology-Professors, Misc_social_scientists, Forgemen_and_hammermen, Mining-Engineers}
@ATTRIBUTE occscore NUMERIC
@ATTRIBUTE sei NUMERIC
@ATTRIBUTE ind1950 {Food_stores_except_dairy, Crude_petroleum_and_natural_gas_extraction, Hospitals, Misc_business_services, Printing_publishing_and_allied_industries, Construction, Misc_wholesale_trade, Aircraft_and_parts, Electrical_machinery_equipment_and_supplies, Not_specified_retail_trade, Liquor_stores, Eating_and_drinking__places, Services_incidental_to_transportation, Welfare_and_religious_services, Theaters_and_motion_pictures, Auto_repair_services_and_garages, Petroleum_refining, Apparel_and_accessories_stores_except_shoe, Agriculture, Jewelry_stores, Federal_public_administration, Banking_and_credit, Retail_florists, Furniture_and_house_furnishings_stores, Electrical_goods_hardware_and_plumbing_equipment, Real_estate, Educational_services, Hotels_and_lodging_places, Air_transportation, Food_and_related_products, General_merchandise, Motor_vehicles_and_accessories_retailing, Private_households, Warehousing_and_storage, Misc_machinery, Fabricated_steel_products, Security_and_commodity_brokerage_and_invest_companies, Furniture_and_fixtures, Gasoline_service_stations, Telephone, Insurance, Medical_and_other_health_services_except_hospitals, Primary_nonferrous_industries, Apparel_and_accessories, Office_and_store_machines, Misc_retail_stores, Professional_equipment, Trucking_service, Misc_chemicals_and_allied_products, Misc_repair_services, Engineering_and_architectural_services, Misc_fabricated_textile_products, Misc_wood_products, Accounting_auditing_and_bookkeeping_services, Misc_personal_services, Beverage_industries, Photographic_equipment_and_supplies, Local_public_administration, Rubber_products, Radio_broadcasting_and_television, Misc_petroleum_and_coal_products, Water_transportation, Motor_vehicles_and_equipment, Dry_goods_apparel, Paperboard_containers_and_boxes, Other_primary_iron_and_steel_industries, Pottery_and_related_prods, Postal_service, Glass_and_glass_products, Advertising, Bakery_products, Misc_manufacturing_industries, Ship_and_boat_building_and_repairing, Confectionary_and_related_products, Legal_services, Misc_professional_and_related, Street_railways_and_bus_lines, Cement_concrete_gypsum_and_plaster_products, Footwear_except_rubber, Not_specified_food_industries, Machinery_equipment_and_supplies, Railroads_and_railway, Shoe_stores, Motor_vehicles_and_motor_vehicle_equipment, Dairy_prods_stores_and_milk_retailing, Lumber_and_building_material_retailing, Pulp_paper_and_paper-board_mills, Misc_entertainment_and_recreation_services, Drugs_chemicals_and_allied_products, Agricultural_machinery_and_tractors, Meat_products, Nonprofit_membership_organizs, Water_supply, Not_specified_wholesale_trade, Misc_food_preparations_and_kindred_products, Household_appliance_and_radio_stores, Canning_and_preserving_fruits_vegetables_and_seafoods, Laundering_cleaning_and_dyeing, Hardware_and_farm_implement_stores, Nonmettalic__mining_and_quarrying_except_fuel, Blast_furnaces_steel_works_336_rolling_mills, Leather_products_except_footwear, Taxicab_service, Drugs_and_medicines, Drug_stores, Misc_nonmetallic_mineral_and_stone_products, Bowling_alleys_and_billiard_and_pool_parlors, Petroleum_products, Sawmills_planing_mills_and_mill_work, Not_specified_metal_industries, Five_and_ten_cent_stores, Electric_light_and_power, Carpets_rugs_and_other_floor_coverings, Paints_varnishes_and_related_products, Electric-gas_utilities, Tobacco_manufactures, Dressmaking_shops, Telegraph, Yarn_thread_and_fabric, Sanitary_services, Forestry, Gas_and_steam_supply_systems, Dairy_products, Misc_textile_mill_products, Railroad_and_misc_transportation_equipment, Misc_paper_and_pulp_products, Knitting_mills, Metal_mining, Fuel_and_ice_retailing, Structural_clay_products, Shoe_repair_shops}
@ATTRIBUTE classwkg {Works_for_wages_salary, Self-employed}
@ATTRIBUTE wkswork2 {40-47_weeks, 14-26_weeks, 50-52_weeks, 48-49_weeks, 1-13_weeks, 27-39_weeks}
@ATTRIBUTE hrswork2 {15-29_hours, 49-59_hours, 40_hours, 30-34_hours, 60+_hours, 35-39_hours, 41-48_hours, 1-14_hours}
@ATTRIBUTE yrlastwk {Worked_3-5_yrs_ago, Worked_current_yr, Never_worked, Worked_previous_yr, Worked_6-10_yrs_ago, Worked_more_than_10_yrs_ago, Worked_2_yrs_prior}
@ATTRIBUTE workedyr {No, Yes}
@ATTRIBUTE inctot NUMERIC
@ATTRIBUTE incwage NUMERIC
@ATTRIBUTE incbus NUMERIC
@ATTRIBUTE incfarm NUMERIC
@ATTRIBUTE incss NUMERIC
@ATTRIBUTE incwelfr NUMERIC
@ATTRIBUTE incother NUMERIC
@ATTRIBUTE poverty NUMERIC
@ATTRIBUTE migrat5g {Same_state_countydifferent_house, Same_house, Same_state_different_county, Abroad, Different_state}
@ATTRIBUTE migplac5 {California, Same_house, Abroad_n_s, Connecticut, Arizona, Oregon, Arkansas, New_York, Alabama, Ohio, Michigan, United_States_n_s__or_confidential, West_Virginia, Massachusetts, Illinois, Pennsylvania, Washington, Kansas, Colorado, New_Jersey, Florida, Hawaii, Puerto_Rico, Delaware, Texas, New_Mexico, Oklahoma, Tennessee, Virginia, North_Carolina, New_Hampshire, Georgia, Louisiana, Minnesota, South_Carolina, Wisconsin, Maine, North_Dakota, Idaho, Missouri, Maryland, Kentucky, Mississippi, Indiana, District_of_Columbia, Utah, Nevada, Rhode_Island, Vermont}
@ATTRIBUTE movedin NUMERIC
@ATTRIBUTE vetstat {No_Service, Yes}
@ATTRIBUTE tranwork {Auto, Walked_only, Bus_or_streetcar, Truck, Motorcycle, Van, Worked_at_home, Bicycle, Other, Taxicab}
@ATTRIBUTE marst {Married_spouse_present, Never_married_single, Divorced, Widowed, Separated, Married_spouse_absent}

@DATA
98.0,?,NA_(household),Non-Farm,Rented,999999.0,325.0,12115.0,1.0,0.0,1.0,0.0,?,0.0,?,0.0,0.0,0.0,0.0,?,4.0,0.0,0.0,?,?,?,2.0,Child,18.0,Male,White,?,California,Yes_in_school,Grade_11,?,Employed,Yes_in_labor_force,Operative_and_kindred_workers_(nec),23.0,18.0,Misc_manufacturing_industries,Works_for_wages_salary,50-52_weeks,15-29_hours,?,Yes,605.0,605.0,0.0,0.0,0.0,?,0.0,164.0,?,?,?,No_Service,Auto,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Owned_or_being_bought_(loan),200000.0,0.0,30005.0,1.0,1.0,1.0,1.0,2.0,0.0,?,1.0,0.0,1.0,0.0,0.0,?,0.0,0.0,1.0,99.0,99.0,3.0,Child,?,Male,White,?,California,Yes_in_school,?,?,?,?,?,0.0,0.0,?,?,?,?,?,?,999999.0,999999.0,999999.0,999999.0,?,99999.0,99999.0,308.0,?,?,?,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,Non-Farm,Owned_or_being_bought_(loan),47500.0,0.0,355.0,?,0.0,1.0,?,1.0,0.0,1.0,?,0.0,0.0,0.0,0.0,3.0,0.0,0.0,?,99.0,?,1.0,Child,16.0,Female,?,?,California,Yes_in_school,?,Public_school,Not_in_labor_force,?,?,0.0,0.0,?,?,?,?,?,No,0.0,0.0,?,0.0,0.0,?,0.0,6.0,?,?,0.0,?,?,?
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),?,0.0,5505.0,1.0,1.0,?,1.0,0.0,0.0,0.0,0.0,0.0,?,2.0,1.0,?,?,0.0,1.0,41.0,41.0,?,?,76.0,Male,White,?,Idaho,No_not_in_school,Grade_9,?,Employed,Yes_in_labor_force,Painters_construction_and_maintenance,23.0,?,Construction,Self-employed,?,?,Worked_6-10_yrs_ago,No,2895.0,0.0,0.0,0.0,2895.0,0.0,0.0,96.0,Same_house,Same_house,7.0,?,?,Married_spouse_present
98.0,?,NA_(household),Non-Farm,?,77500.0,0.0,13810.0,1.0,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,99.0,99.0,?,Head_Householder,?,Male,White,?,England,No_not_in_school,Grade_12,?,Not_in_labor_force,?,?,?,0.0,?,?,?,?,?,No,?,0.0,0.0,0.0,7205.0,?,0.0,313.0,Same_state_countydifferent_house,California,2.0,Yes,?,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,175000.0,0.0,56910.0,1.0,1.0,1.0,1.0,?,0.0,1.0,1.0,0.0,1.0,?,0.0,4.0,0.0,0.0,1.0,99.0,99.0,1.0,Child,5.0,Male,White,?,?,Yes_in_school,None_or_preschool,Public_school,?,?,?,0.0,?,?,?,?,?,?,?,999999.0,999999.0,999999.0,?,?,99999.0,99999.0,501.0,?,?,0.0,?,?,Never_married_single
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Rented,999999.0,287.0,5580.0,?,1.0,0.0,?,0.0,0.0,0.0,0.0,?,0.0,1.0,1.0,2.0,0.0,0.0,1.0,99.0,99.0,0.0,Spouse,?,Female,?,0.0,Florida,No_not_in_school,?,?,Employed,Yes_in_labor_force,Stenographers_typists_and_secretaries,?,61.0,Printing_publishing_and_allied_industries,?,?,40_hours,?,Yes,3375.0,?,0.0,0.0,0.0,0.0,0.0,114.0,Same_state_different_county,?,0.0,No_Service,Auto,Married_spouse_present
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,?,?,1.0,?,1.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,5.0,?,?,23.0,8.0,?,?,49.0,Female,Black_Negro,6.0,Mississippi,No_not_in_school,?,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Worked_6-10_yrs_ago,No,?,0.0,0.0,?,0.0,?,0.0,271.0,Same_house,Same_house,5.0,No_Service,?,Separated
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,?,?,38135.0,?,1.0,1.0,1.0,0.0,0.0,?,0.0,0.0,0.0,2.0,1.0,5.0,3.0,0.0,1.0,14.0,9.0,?,Head_Householder,37.0,Male,White,?,California,No_not_in_school,4+_years_of_college,?,Employed,Yes_in_labor_force,Teachers_(n_e_c_),27.0,?,Educational_services,?,?,?,?,Yes,24580.0,?,0.0,?,0.0,0.0,0.0,438.0,Same_state_countydifferent_house,California,?,No_Service,Auto,Married_spouse_present
?,?,NA_(household),Non-Farm,Rented,?,287.0,2305.0,2.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,?,99.0,99.0,0.0,?,20.0,Female,Japanese,0.0,California,?,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,?,?,13.0,Hospitals,?,40-47_weeks,15-29_hours,?,Yes,1795.0,?,0.0,0.0,0.0,0.0,0.0,47.0,?,California,0.0,No_Service,Auto,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),95000.0,0.0,41225.0,1.0,?,1.0,0.0,0.0,0.0,0.0,?,0.0,?,0.0,0.0,4.0,0.0,?,1.0,?,99.0,?,Sibling,?,Male,Black_Negro,?,Texas,No_not_in_school,1_to_3_years_of_college,?,Unemployed,Yes_in_labor_force,Foremen_(nec),37.0,49.0,Professional_equipment,Works_for_wages_salary,27-39_weeks,?,Worked_current_yr,Yes,13005.0,?,?,?,0.0,0.0,0.0,501.0,?,California,?,No_Service,?,Married_spouse_absent
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),175000.0,?,68915.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,?,0.0,0.0,0.0,?,5.0,1.0,0.0,1.0,?,38.0,0.0,Parent,63.0,Female,Other_Asian_or_Pacific,4.0,India,No_not_in_school,Grade_12,?,?,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Never_worked,No,?,0.0,0.0,?,?,?,0.0,501.0,Same_state_countydifferent_house,California,0.0,No_Service,?,Widowed
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,?,175000.0,0.0,26375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,?,1.0,?,?,7.0,?,1.0,16.0,0.0,0.0,Spouse,?,Female,?,7.0,California,No_not_in_school,Grade_12,?,Not_in_labor_force,?,Salesmen_and_sales_clerks_(nec),24.0,47.0,?,Self-employed,1-13_weeks,?,Worked_current_yr,Yes,365.0,0.0,?,0.0,0.0,?,?,?,?,?,0.0,No_Service,?,Married_spouse_present
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Owned_or_being_bought_(loan),?,0.0,47315.0,?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,?,2.0,?,0.0,1.0,99.0,99.0,0.0,Spouse,23.0,Female,White,0.0,California,No_not_in_school,Grade_12,?,Employed,Yes_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),24.0,44.0,Educational_services,Works_for_wages_salary,48-49_weeks,41-48_hours,?,Yes,8005.0,?,?,0.0,0.0,0.0,0.0,501.0,?,?,?,No_Service,?,Married_spouse_present
98.0,?,NA_(household),Non-Farm,Owned_or_being_bought_(loan),?,?,17155.0,1.0,1.0,1.0,?,?,0.0,1.0,?,0.0,1.0,0.0,0.0,6.0,0.0,0.0,?,99.0,99.0,3.0,Child,2.0,?,White,?,California,No_not_in_school,?,?,?,?,?,0.0,?,?,?,?,?,?,?,999999.0,?,999999.0,?,99999.0,99999.0,99999.0,?,?,?,0.0,?,?,?
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),52500.0,0.0,3305.0,1.0,?,?,0.0,?,0.0,?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,?,99.0,99.0,0.0,Head_Householder,62.0,Female,White,?,Wisconsin,No_not_in_school,4+_years_of_college,?,?,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Worked_more_than_10_yrs_ago,No,3305.0,0.0,0.0,0.0,3305.0,0.0,0.0,?,Same_house,Same_house,8.0,No_Service,?,Widowed
98.0,Institution,Other_institutions,Non-Farm,?,999999.0,0.0,999999.0,1.0,?,0.0,?,?,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0,0.0,1.0,99.0,?,0.0,Institutional_inmates,?,Female,White,2.0,England,No_not_in_school,Grade_5-8,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Worked_more_than_10_yrs_ago,No,2155.0,0.0,0.0,0.0,2155.0,0.0,0.0,0.0,?,?,0.0,No_Service,?,Widowed
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),62500.0,0.0,33015.0,1.0,1.0,1.0,?,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,?,0.0,1.0,99.0,99.0,2.0,?,16.0,Male,White,?,California,Yes_in_school,Grade_9,Public_school,?,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Never_worked,No,?,0.0,?,?,0.0,0.0,0.0,359.0,Same_house,Same_house,?,No_Service,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),112500.0,0.0,22385.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,?,0.0,1.0,?,99.0,0.0,Head_Householder,79.0,Male,White,?,USSR_Russia,?,Grade_5-8,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Worked_more_than_10_yrs_ago,No,0.0,0.0,?,0.0,0.0,0.0,0.0,392.0,?,?,7.0,Yes,?,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,450.0,25010.0,?,1.0,1.0,1.0,?,0.0,?,1.0,0.0,1.0,?,0.0,5.0,0.0,0.0,1.0,99.0,99.0,?,?,?,Female,White,?,California,Yes_in_school,?,Public_school,?,?,?,0.0,?,?,?,?,?,?,?,999999.0,999999.0,999999.0,999999.0,?,99999.0,?,?,?,?,0.0,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,999999.0,237.0,7660.0,1.0,0.0,0.0,?,?,0.0,0.0,0.0,?,0.0,?,0.0,2.0,0.0,0.0,1.0,99.0,99.0,1.0,Sibling,82.0,Female,White,0.0,Mexico,No_not_in_school,Grade_1-4,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,Worked_more_than_10_yrs_ago,No,4275.0,0.0,0.0,0.0,4275.0,0.0,?,174.0,Same_house,Same_house,?,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),47500.0,0.0,22150.0,1.0,1.0,1.0,?,?,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,11.0,8.0,0.0,Spouse,33.0,Male,Other_Asian_or_Pacific,?,California,No_not_in_school,?,?,?,?,Mechanics_and_repairmen_(nec),29.0,27.0,?,Works_for_wages_salary,50-52_weeks,40_hours,?,Yes,11155.0,?,0.0,0.0,0.0,0.0,0.0,?,?,?,?,No_Service,Motorcycle,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,999999.0,?,?,1.0,0.0,1.0,?,?,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,?,0.0,1.0,99.0,99.0,2.0,?,?,?,Black_Negro,?,Abroad_(unknown)_or_at_sea,Yes_in_school,Grade_1-4,?,?,?,?,0.0,0.0,?,?,?,?,?,?,999999.0,999999.0,?,999999.0,99999.0,99999.0,99999.0,168.0,?,?,0.0,?,?,?
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,Non-Farm,Rented,999999.0,?,9550.0,1.0,1.0,1.0,1.0,2.0,0.0,?,?,0.0,1.0,0.0,0.0,4.0,0.0,?,1.0,99.0,99.0,1.0,Child,?,Female,White,?,California,No_not_in_school,None_or_preschool,?,?,?,?,0.0,0.0,?,?,?,?,?,?,?,999999.0,?,999999.0,?,99999.0,99999.0,129.0,?,?,0.0,?,?,?
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),200000.0,?,46010.0,1.0,1.0,1.0,1.0,0.0,0.0,?,0.0,0.0,?,1.0,?,?,3.0,?,1.0,12.0,4.0,0.0,Spouse,35.0,Female,White,?,England,No_not_in_school,?,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,?,No,0.0,0.0,0.0,?,0.0,0.0,0.0,?,?,?,?,No_Service,?,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,75.0,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,1.0,0.0,0.0,?,99.0,99.0,0.0,Head_Householder,67.0,Female,White,1.0,New_York,No_not_in_school,Grade_11,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,?,?,?,?,?,Worked_more_than_10_yrs_ago,No,6005.0,0.0,0.0,0.0,6005.0,0.0,0.0,172.0,?,?,5.0,No_Service,?,Widowed
